N	CostTIME_onDEV	CostTIME_HOST
1	2.908707e-05	0.000000e+00
2	2.789497e-05	0.000000e+00
4	3.004074e-05	0.000000e+00
8	2.884865e-05	0.000000e+00
16	2.884865e-05	0.000000e+00
32	2.884865e-05	0.000000e+00
64	2.884865e-05	9.536743e-07
128	3.099442e-05	1.907349e-06
256	2.980232e-05	4.053116e-06
512	3.099442e-05	7.152557e-06
1024	3.480911e-05	1.597404e-05
2048	4.196167e-05	3.290176e-05
4096	4.816055e-05	6.914139e-05
8192	7.915497e-05	1.399517e-04
16384	1.230240e-04	3.139973e-04
32768	2.119541e-04	6.289482e-04
65536	3.900528e-04	1.241922e-03
131072	7.410049e-04	2.480030e-03
262144	1.441002e-03	5.134821e-03
524288	2.857208e-03	9.964943e-03
1048576	5.677938e-03	2.040792e-02
2097152	1.124310e-02	3.711891e-02
4194304	2.242208e-02	7.428002e-02
