N	CostTIME_onDEV	CostTIME_HOST
1	3.099442e-05	0.000000e+00
2	3.004074e-05	0.000000e+00
4	3.385544e-05	0.000000e+00
8	2.908707e-05	0.000000e+00
16	3.004074e-05	0.000000e+00
32	3.004074e-05	0.000000e+00
64	2.789497e-05	9.536743e-07
128	3.099442e-05	1.907349e-06
256	3.099442e-05	3.814697e-06
512	3.504753e-05	7.867813e-06
1024	3.600121e-05	1.597404e-05
2048	4.291534e-05	3.314018e-05
4096	5.412102e-05	6.890297e-05
8192	7.605553e-05	1.428127e-04
16384	1.230240e-04	2.870560e-04
32768	2.160072e-04	6.179810e-04
65536	3.941059e-04	1.183987e-03
131072	7.400513e-04	2.467871e-03
262144	1.441002e-03	4.971981e-03
524288	2.851009e-03	1.019716e-02
1048576	5.646944e-03	1.961708e-02
2097152	1.120782e-02	3.917599e-02
4194304	2.232194e-02	8.093691e-02
