N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
1	1	2.884865e-05	0.000000e+00	8.106232e-06	1.907349e-06
2	1	2.884865e-05	0.000000e+00	7.152557e-06	1.907349e-06
4	1	2.908707e-05	0.000000e+00	7.867813e-06	2.145767e-06
8	1	2.813339e-05	0.000000e+00	6.914139e-06	1.192093e-06
16	1	2.813339e-05	0.000000e+00	6.914139e-06	1.907349e-06
32	1	2.384186e-05	0.000000e+00	6.914139e-06	1.907349e-06
64	1	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07
128	1	3.218651e-05	0.000000e+00	7.867813e-06	9.536743e-07
256	1	3.600121e-05	0.000000e+00	7.867813e-06	1.907349e-06
512	1	4.386902e-05	0.000000e+00	7.867813e-06	2.145767e-06
1024	1	6.103516e-05	9.536743e-07	8.821487e-06	1.907349e-06
2048	1	9.489059e-05	1.907349e-06	1.096725e-05	2.861023e-06
4096	1	1.621246e-04	4.053116e-06	1.597404e-05	5.006790e-06
8192	1	3.049374e-04	1.096725e-05	2.503395e-05	8.106232e-06
1	2	2.789497e-05	0.000000e+00	7.152557e-06	9.536743e-07
2	2	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07
4	2	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	2	2.908707e-05	0.000000e+00	7.152557e-06	9.536743e-07
16	2	2.503395e-05	0.000000e+00	6.914139e-06	9.536743e-07
32	2	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
64	2	2.884865e-05	0.000000e+00	8.106232e-06	9.536743e-07
128	2	3.099442e-05	0.000000e+00	7.867813e-06	9.536743e-07
256	2	3.504753e-05	0.000000e+00	6.914139e-06	1.907349e-06
512	2	4.410744e-05	0.000000e+00	9.775162e-06	1.907349e-06
1024	2	5.984306e-05	9.536743e-07	1.001358e-05	1.907349e-06
2048	2	9.489059e-05	1.907349e-06	1.382828e-05	3.099442e-06
4096	2	1.621246e-04	5.006790e-06	2.408028e-05	5.006790e-06
8192	2	3.130436e-04	1.502037e-05	4.100800e-05	7.867813e-06
1	4	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	4	2.789497e-05	0.000000e+00	7.152557e-06	9.536743e-07
4	4	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	4	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	4	2.884865e-05	0.000000e+00	7.867813e-06	9.536743e-07
32	4	2.884865e-05	0.000000e+00	8.106232e-06	9.536743e-07
64	4	2.813339e-05	0.000000e+00	7.867813e-06	1.192093e-06
128	4	3.099442e-05	0.000000e+00	7.867813e-06	1.907349e-06
256	4	3.600121e-05	9.536743e-07	8.821487e-06	1.907349e-06
512	4	4.386902e-05	9.536743e-07	1.096725e-05	1.907349e-06
1024	4	6.103516e-05	2.861023e-06	1.597404e-05	1.907349e-06
2048	4	9.489059e-05	5.006790e-06	2.312660e-05	2.861023e-06
4096	4	1.618862e-04	1.406670e-05	4.196167e-05	5.006790e-06
8192	4	3.049374e-04	2.694130e-05	7.295609e-05	8.106232e-06
1	8	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07
2	8	2.908707e-05	0.000000e+00	7.152557e-06	9.536743e-07
4	8	2.789497e-05	0.000000e+00	7.152557e-06	1.907349e-06
8	8	2.908707e-05	0.000000e+00	7.867813e-06	9.536743e-07
16	8	2.813339e-05	0.000000e+00	7.867813e-06	1.192093e-06
32	8	2.813339e-05	0.000000e+00	6.914139e-06	1.192093e-06
64	8	2.884865e-05	0.000000e+00	8.106232e-06	1.192093e-06
128	8	3.004074e-05	0.000000e+00	7.867813e-06	1.907349e-06
256	8	3.504753e-05	1.192093e-06	1.096725e-05	9.536743e-07
512	8	4.291534e-05	1.907349e-06	1.502037e-05	1.907349e-06
1024	8	5.888939e-05	5.006790e-06	2.288818e-05	2.861023e-06
2048	8	9.417534e-05	9.059906e-06	4.005432e-05	3.814697e-06
4096	8	1.618862e-04	1.883507e-05	7.295609e-05	5.006790e-06
8192	8	3.209114e-04	4.386902e-05	1.370907e-04	8.821487e-06
1	16	2.813339e-05	0.000000e+00	7.152557e-06	9.536743e-07
2	16	2.884865e-05	0.000000e+00	8.106232e-06	9.536743e-07
4	16	2.789497e-05	0.000000e+00	7.867813e-06	9.536743e-07
8	16	2.908707e-05	0.000000e+00	7.867813e-06	1.907349e-06
16	16	2.384186e-05	0.000000e+00	7.867813e-06	9.536743e-07
32	16	2.884865e-05	0.000000e+00	7.867813e-06	9.536743e-07
64	16	2.908707e-05	0.000000e+00	1.001358e-05	9.536743e-07
128	16	3.194809e-05	9.536743e-07	1.096725e-05	9.536743e-07
256	16	3.480911e-05	1.907349e-06	1.502037e-05	1.907349e-06
512	16	4.506111e-05	3.814697e-06	2.288818e-05	1.907349e-06
1024	16	6.198883e-05	1.382828e-05	4.100800e-05	1.907349e-06
2048	16	9.489059e-05	2.503395e-05	7.796288e-05	2.861023e-06
4096	16	1.699924e-04	3.099442e-05	1.368523e-04	3.814697e-06
8192	16	3.209114e-04	7.200241e-05	2.779961e-04	5.960464e-06
1	32	2.813339e-05	0.000000e+00	6.914139e-06	1.192093e-06
2	32	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	32	2.789497e-05	0.000000e+00	7.867813e-06	9.536743e-07
8	32	2.408028e-05	0.000000e+00	7.152557e-06	1.907349e-06
16	32	2.789497e-05	0.000000e+00	8.106232e-06	9.536743e-07
32	32	2.789497e-05	0.000000e+00	9.059906e-06	1.192093e-06
64	32	2.884865e-05	9.536743e-07	1.096725e-05	9.536743e-07
128	32	3.099442e-05	2.145767e-06	1.502037e-05	9.536743e-07
256	32	3.600121e-05	3.814697e-06	2.312660e-05	1.907349e-06
512	32	4.386902e-05	9.059906e-06	4.005432e-05	1.907349e-06
1024	32	6.294250e-05	1.788139e-05	7.390976e-05	1.907349e-06
2048	32	9.989738e-05	3.385544e-05	1.368523e-04	3.099442e-06
4096	32	1.718998e-04	6.794930e-05	2.801418e-04	4.053116e-06
8192	32	3.259182e-04	1.668930e-04	4.739761e-04	5.960464e-06
1	64	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	64	2.789497e-05	0.000000e+00	7.867813e-06	1.192093e-06
4	64	2.384186e-05	0.000000e+00	7.152557e-06	9.536743e-07
