N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
1	1	2.908707e-05	0.000000e+00	7.867813e-06	1.907349e-06
2	1	2.789497e-05	0.000000e+00	7.152557e-06	9.536743e-07
4	1	2.908707e-05	0.000000e+00	7.867813e-06	2.145767e-06
8	1	3.004074e-05	0.000000e+00	7.867813e-06	9.536743e-07
16	1	3.099442e-05	0.000000e+00	6.914139e-06	1.192093e-06
32	1	3.600121e-05	0.000000e+00	7.867813e-06	1.907349e-06
64	1	4.506111e-05	0.000000e+00	7.867813e-06	9.536743e-07
128	1	6.198883e-05	0.000000e+00	7.867813e-06	1.907349e-06
256	1	9.799004e-05	0.000000e+00	6.914139e-06	1.907349e-06
512	1	1.680851e-04	9.536743e-07	7.867813e-06	1.907349e-06
1024	1	3.089905e-04	9.536743e-07	9.059906e-06	1.907349e-06
2048	1	5.888939e-04	1.907349e-06	1.096725e-05	2.861023e-06
4096	1	1.152039e-03	3.814697e-06	1.502037e-05	4.053116e-06
8192	1	2.282143e-03	1.192093e-05	2.408028e-05	7.867813e-06
1	2	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	2	3.004074e-05	0.000000e+00	6.914139e-06	1.907349e-06
4	2	2.980232e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	2	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	2	3.194809e-05	0.000000e+00	6.914139e-06	9.536743e-07
32	2	3.600121e-05	0.000000e+00	7.867813e-06	9.536743e-07
64	2	4.410744e-05	0.000000e+00	6.914139e-06	9.536743e-07
128	2	6.198883e-05	0.000000e+00	7.867813e-06	9.536743e-07
256	2	9.679794e-05	0.000000e+00	7.867813e-06	9.536743e-07
512	2	1.671314e-04	9.536743e-07	8.821487e-06	1.907349e-06
1024	2	3.089905e-04	1.907349e-06	1.001358e-05	1.907349e-06
2048	2	5.900860e-04	2.861023e-06	1.478195e-05	3.099442e-06
4096	2	1.152992e-03	5.006790e-06	2.384186e-05	5.006790e-06
8192	2	2.287149e-03	1.883507e-05	4.005432e-05	7.867813e-06
1	4	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	4	3.004074e-05	0.000000e+00	7.152557e-06	1.907349e-06
4	4	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	4	3.004074e-05	0.000000e+00	7.152557e-06	9.536743e-07
16	4	3.099442e-05	0.000000e+00	6.914139e-06	9.536743e-07
32	4	3.600121e-05	0.000000e+00	6.914139e-06	1.907349e-06
64	4	4.386902e-05	0.000000e+00	7.867813e-06	1.907349e-06
128	4	6.198883e-05	9.536743e-07	7.867813e-06	1.907349e-06
256	4	9.799004e-05	9.536743e-07	8.821487e-06	1.907349e-06
512	4	1.680851e-04	9.536743e-07	1.096725e-05	1.907349e-06
1024	4	3.089905e-04	1.907349e-06	1.502037e-05	2.861023e-06
2048	4	5.908012e-04	6.198883e-06	2.503395e-05	3.099442e-06
4096	4	1.152992e-03	1.096725e-05	4.196167e-05	5.006790e-06
8192	4	2.286911e-03	2.217293e-05	7.486343e-05	8.821487e-06
1	8	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07
2	8	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	8	2.908707e-05	0.000000e+00	7.867813e-06	9.536743e-07
8	8	3.004074e-05	0.000000e+00	6.914139e-06	1.192093e-06
16	8	3.099442e-05	0.000000e+00	8.106232e-06	9.536743e-07
32	8	3.600121e-05	0.000000e+00	7.867813e-06	1.907349e-06
