N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH	CT_HtD
64	2048	8.106232e-06	1.740456e-04	2.748966e-04	5.507469e-05
128	2048	9.059906e-06	3.421307e-04	4.999638e-04	1.378059e-04
256	2048	5.102158e-05	7.541180e-04	8.611679e-04	4.968643e-04
512	2048	8.106232e-06	1.909971e-03	1.622200e-03	1.174927e-03
1024	2048	8.821487e-06	3.265142e-03	3.105879e-03	2.481937e-03
2048	2048	7.867813e-06	6.591797e-03	6.047964e-03	5.023003e-03
4096	2048	9.059906e-06	1.304317e-02	1.200509e-02	1.006794e-02
8192	2048	9.059906e-06	2.626514e-02	2.425289e-02	2.022791e-02
1	4096	9.059906e-06	5.006790e-06	3.004074e-05	3.814697e-06
2	4096	1.001358e-05	1.096725e-05	3.814697e-05	5.006790e-06
4	4096	1.001358e-05	2.408028e-05	5.483627e-05	8.821487e-06
8	4096	1.001358e-05	4.506111e-05	8.893013e-05	1.502037e-05
16	4096	1.096725e-05	9.202957e-05	1.537800e-04	2.908707e-05
32	4096	1.096725e-05	1.728535e-04	2.830029e-04	5.602837e-05
64	4096	1.001358e-05	3.621578e-04	4.761219e-04	1.521111e-04
128	4096	1.120567e-05	7.629395e-04	8.749962e-04	4.899502e-04
256	4096	1.096725e-05	2.030134e-03	1.707792e-03	1.266956e-03
512	4096	1.096725e-05	3.398895e-03	3.196001e-03	2.484798e-03
1024	4096	1.096725e-05	6.841898e-03	6.295919e-03	5.098820e-03
2048	4096	1.096725e-05	1.248908e-02	1.206613e-02	1.007509e-02
4096	4096	5.483627e-05	2.491093e-02	2.388215e-02	2.020288e-02
8192	4096	5.483627e-05	5.383587e-02	4.867792e-02	4.072595e-02
1	8192	1.382828e-05	1.096725e-05	4.816055e-05	5.006790e-06
2	8192	2.217293e-05	2.384186e-05	6.508827e-05	9.059906e-06
4	8192	1.502037e-05	4.482269e-05	9.679794e-05	1.597404e-05
8	8192	1.502037e-05	8.797646e-05	1.621246e-04	2.884865e-05
16	8192	1.502037e-05	1.730919e-04	3.030300e-04	5.507469e-05
32	8192	1.502037e-05	3.960133e-04	4.978180e-04	1.401901e-04
64	8192	1.502037e-05	7.600784e-04	9.250641e-04	5.180836e-04
128	8192	1.502037e-05	2.111197e-03	1.644135e-03	1.183987e-03
256	8192	2.193451e-05	3.455162e-03	3.223896e-03	2.505064e-03
512	8192	1.597404e-05	6.753922e-03	6.256104e-03	5.092144e-03
1024	8192	1.502037e-05	1.375389e-02	1.250601e-02	1.012397e-02
2048	8192	5.912781e-05	2.510691e-02	2.399683e-02	2.023792e-02
4096	8192	5.888939e-05	5.138683e-02	4.802704e-02	4.058814e-02
8192	8192	5.888939e-05	1.031089e-01	9.617686e-02	8.156395e-02
