N	TIME_onDEV_T1	TIME_HOST	TIME_onDEV_Tp
64	2	3.790855e-05	0.000000e+00	2.408028e-05
64	4	3.790855e-05	0.000000e+00	1.692772e-05
64	8	3.790855e-05	0.000000e+00	1.311302e-05
64	16	3.790855e-05	0.000000e+00	1.192093e-05
64	32	3.790855e-05	0.000000e+00	1.192093e-05
64	64	3.790855e-05	0.000000e+00	1.096725e-05
64	128	3.790855e-05	0.000000e+00	1.096725e-05
64	256	3.790855e-05	0.000000e+00	1.096725e-05
64	512	3.790855e-05	0.000000e+00	1.096725e-05
64	1024	3.790855e-05	0.000000e+00	1.096725e-05
64	2048	3.790855e-05	0.000000e+00	1.096725e-05
64	4096	3.790855e-05	0.000000e+00	1.001358e-05
64	8192	3.790855e-05	0.000000e+00	1.001358e-05
64	16384	3.790855e-05	0.000000e+00	1.001358e-05
64	32768	3.790855e-05	0.000000e+00	1.001358e-05
128	1	6.389618e-05	0.000000e+00	6.389618e-05
128	2	6.389618e-05	0.000000e+00	3.600121e-05
128	4	6.389618e-05	0.000000e+00	2.384186e-05
128	8	6.389618e-05	0.000000e+00	1.716614e-05
128	16	6.389618e-05	0.000000e+00	1.382828e-05
128	32	6.389618e-05	0.000000e+00	1.192093e-05
128	64	6.389618e-05	0.000000e+00	1.096725e-05
128	128	6.389618e-05	0.000000e+00	1.096725e-05
128	256	6.389618e-05	0.000000e+00	1.001358e-05
128	512	6.389618e-05	0.000000e+00	1.001358e-05
128	1024	6.389618e-05	0.000000e+00	1.001358e-05
128	2048	6.389618e-05	0.000000e+00	1.001358e-05
128	4096	6.389618e-05	0.000000e+00	1.001358e-05
128	8192	6.389618e-05	0.000000e+00	1.001358e-05
128	16384	6.389618e-05	0.000000e+00	1.001358e-05
128	32768	6.389618e-05	0.000000e+00	1.001358e-05
256	1	1.180172e-04	9.536743e-07	1.180172e-04
256	2	1.180172e-04	9.536743e-07	6.413460e-05
256	4	1.180172e-04	9.536743e-07	3.790855e-05
256	8	1.180172e-04	9.536743e-07	2.384186e-05
256	16	1.180172e-04	9.536743e-07	1.788139e-05
256	32	1.180172e-04	9.536743e-07	1.406670e-05
256	64	1.180172e-04	9.536743e-07	1.287460e-05
256	128	1.180172e-04	9.536743e-07	1.120567e-05
256	256	1.180172e-04	9.536743e-07	1.120567e-05
256	512	1.180172e-04	9.536743e-07	1.096725e-05
256	1024	1.180172e-04	9.536743e-07	1.096725e-05
256	2048	1.180172e-04	9.536743e-07	1.096725e-05
256	4096	1.180172e-04	9.536743e-07	1.096725e-05
256	8192	1.180172e-04	9.536743e-07	1.096725e-05
256	16384	1.180172e-04	9.536743e-07	1.096725e-05
256	32768	1.180172e-04	9.536743e-07	1.096725e-05
512	1	2.260208e-04	9.536743e-07	2.238750e-04
512	2	2.260208e-04	9.536743e-07	1.158714e-04
512	4	2.260208e-04	9.536743e-07	6.389618e-05
512	8	2.260208e-04	9.536743e-07	3.695488e-05
512	16	2.260208e-04	9.536743e-07	2.384186e-05
512	32	2.260208e-04	9.536743e-07	1.597404e-05
512	64	2.260208e-04	9.536743e-07	1.406670e-05
512	128	2.260208e-04	9.536743e-07	9.059906e-06
512	256	2.260208e-04	9.536743e-07	9.059906e-06
512	512	2.260208e-04	9.536743e-07	9.059906e-06
512	1024	2.260208e-04	9.536743e-07	9.059906e-06
512	2048	2.260208e-04	9.536743e-07	9.059906e-06
512	4096	2.260208e-04	9.536743e-07	9.059906e-06
512	8192	2.260208e-04	9.536743e-07	9.059906e-06
512	16384	2.260208e-04	9.536743e-07	9.059906e-06
512	32768	2.260208e-04	9.536743e-07	9.059906e-06
1024	1	4.379749e-04	3.814697e-06	4.379749e-04
1024	2	4.379749e-04	3.814697e-06	2.241135e-04
1024	4	4.379749e-04	3.814697e-06	1.170635e-04
1024	8	4.379749e-04	3.814697e-06	6.484985e-05
1024	16	4.379749e-04	3.814697e-06	3.695488e-05
1024	32	4.379749e-04	3.814697e-06	2.598763e-05
1024	64	4.379749e-04	3.814697e-06	1.907349e-05
1024	128	4.379749e-04	3.814697e-06	1.406670e-05
1024	256	4.379749e-04	3.814697e-06	1.192093e-05
1024	512	4.379749e-04	3.814697e-06	1.192093e-05
1024	1024	4.379749e-04	3.814697e-06	1.096725e-05
1024	2048	4.379749e-04	3.814697e-06	1.001358e-05
1024	4096	4.379749e-04	3.814697e-06	1.001358e-05
1024	8192	4.379749e-04	3.814697e-06	1.001358e-05
1024	16384	4.379749e-04	3.814697e-06	1.001358e-05
1024	32768	4.379749e-04	3.814697e-06	1.001358e-05
2048	1	8.649826e-04	6.914139e-06	8.640289e-04
2048	2	8.649826e-04	6.914139e-06	4.370213e-04
2048	4	8.649826e-04	6.914139e-06	2.238750e-04
2048	8	8.649826e-04	6.914139e-06	1.170635e-04
2048	16	8.649826e-04	6.914139e-06	6.389618e-05
2048	32	8.649826e-04	6.914139e-06	4.100800e-05
2048	64	8.649826e-04	6.914139e-06	2.598763e-05
2048	128	8.649826e-04	6.914139e-06	1.788139e-05
2048	256	8.649826e-04	6.914139e-06	1.382828e-05
2048	512	8.649826e-04	6.914139e-06	1.287460e-05
2048	1024	8.649826e-04	6.914139e-06	1.287460e-05
2048	2048	8.649826e-04	6.914139e-06	9.059906e-06
2048	4096	8.649826e-04	6.914139e-06	9.059906e-06
2048	8192	8.649826e-04	6.914139e-06	9.059906e-06
2048	16384	8.649826e-04	6.914139e-06	9.059906e-06
2048	32768	8.649826e-04	6.914139e-06	9.059906e-06
4096	1	1.719952e-03	1.382828e-05	1.718044e-03
4096	2	1.719952e-03	1.382828e-05	8.649826e-04
4096	4	1.719952e-03	1.382828e-05	4.379749e-04
4096	8	1.719952e-03	1.382828e-05	2.241135e-04
4096	16	1.719952e-03	1.382828e-05	1.180172e-04
4096	32	1.719952e-03	1.382828e-05	7.200241e-05
4096	64	1.719952e-03	1.382828e-05	3.981590e-05
4096	128	1.719952e-03	1.382828e-05	2.598763e-05
4096	256	1.719952e-03	1.382828e-05	1.883507e-05
4096	512	1.719952e-03	1.382828e-05	1.502037e-05
4096	1024	1.719952e-03	1.382828e-05	1.287460e-05
4096	2048	1.719952e-03	1.382828e-05	1.096725e-05
4096	4096	1.719952e-03	1.382828e-05	1.096725e-05
4096	8192	1.719952e-03	1.382828e-05	1.096725e-05
4096	16384	1.719952e-03	1.382828e-05	1.096725e-05
4096	32768	1.719952e-03	1.382828e-05	1.096725e-05
8192	1	3.429890e-03	2.789497e-05	3.426790e-03
8192	2	3.429890e-03	2.789497e-05	1.718998e-03
8192	4	3.429890e-03	2.789497e-05	8.649826e-04
8192	8	3.429890e-03	2.789497e-05	4.379749e-04
8192	16	3.429890e-03	2.789497e-05	2.248287e-04
8192	32	3.429890e-03	2.789497e-05	1.330376e-04
8192	64	3.429890e-03	2.789497e-05	7.295609e-05
8192	128	3.429890e-03	2.789497e-05	3.886223e-05
8192	256	3.429890e-03	2.789497e-05	2.598763e-05
8192	512	3.429890e-03	2.789497e-05	1.907349e-05
8192	1024	3.429890e-03	2.789497e-05	1.502037e-05
8192	2048	3.429890e-03	2.789497e-05	1.215935e-05
8192	4096	3.429890e-03	2.789497e-05	1.192093e-05
8192	8192	3.429890e-03	2.789497e-05	1.192093e-05
8192	16384	3.429890e-03	2.789497e-05	1.192093e-05
8192	32768	3.429890e-03	2.789497e-05	1.192093e-05
16384	1	6.844997e-03	5.698204e-05	6.842136e-03
16384	2	6.844997e-03	5.698204e-05	3.426790e-03
16384	4	6.844997e-03	5.698204e-05	1.718044e-03
16384	8	6.844997e-03	5.698204e-05	8.649826e-04
16384	16	6.844997e-03	5.698204e-05	4.389286e-04
16384	32	6.844997e-03	5.698204e-05	2.579689e-04
16384	64	6.844997e-03	5.698204e-05	1.330376e-04
16384	128	6.844997e-03	5.698204e-05	7.200241e-05
16384	256	6.844997e-03	5.698204e-05	4.196167e-05
16384	512	6.844997e-03	5.698204e-05	2.694130e-05
16384	1024	6.844997e-03	5.698204e-05	1.907349e-05
16384	2048	6.844997e-03	5.698204e-05	1.502037e-05
16384	4096	6.844997e-03	5.698204e-05	1.311302e-05
16384	8192	6.844997e-03	5.698204e-05	1.311302e-05
16384	16384	6.844997e-03	5.698204e-05	1.311302e-05
16384	32768	6.844997e-03	5.698204e-05	1.311302e-05
32768	1	1.367497e-02	1.139641e-04	1.367211e-02
32768	2	1.367497e-02	1.139641e-04	6.841898e-03
32768	4	1.367497e-02	1.139641e-04	3.982067e-03
32768	8	1.367497e-02	1.139641e-04	2.253056e-03
32768	16	1.367497e-02	1.139641e-04	1.149893e-03
32768	32	1.367497e-02	1.139641e-04	6.530285e-04
32768	64	1.367497e-02	1.139641e-04	3.309250e-04
32768	128	1.367497e-02	1.139641e-04	1.718998e-04
32768	256	1.367497e-02	1.139641e-04	9.202957e-05
32768	512	1.367497e-02	1.139641e-04	5.292892e-05
