N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
1	1	2.789497e-05	0.000000e+00	7.867813e-06	1.192093e-06
2	1	2.813339e-05	0.000000e+00	7.867813e-06	1.907349e-06
4	1	2.789497e-05	0.000000e+00	8.106232e-06	1.907349e-06
8	1	2.813339e-05	0.000000e+00	7.867813e-06	1.907349e-06
16	1	2.789497e-05	0.000000e+00	6.914139e-06	1.192093e-06
32	1	2.908707e-05	0.000000e+00	6.914139e-06	1.192093e-06
64	1	3.099442e-05	0.000000e+00	6.914139e-06	9.536743e-07
128	1	3.695488e-05	0.000000e+00	7.152557e-06	1.907349e-06
256	1	4.506111e-05	9.536743e-07	8.106232e-06	9.536743e-07
512	1	6.389618e-05	9.536743e-07	7.867813e-06	9.536743e-07
1024	1	1.010895e-04	2.145767e-06	8.821487e-06	1.907349e-06
2048	1	1.749992e-04	5.006790e-06	1.096725e-05	1.907349e-06
4096	1	3.240108e-04	1.001358e-05	1.502037e-05	9.536743e-07
8192	1	6.229877e-04	2.002716e-05	2.384186e-05	9.536743e-07
1	2	2.717972e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	2	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	2	2.789497e-05	0.000000e+00	8.106232e-06	9.536743e-07
8	2	2.789497e-05	0.000000e+00	6.914139e-06	1.907349e-06
16	2	2.813339e-05	0.000000e+00	7.867813e-06	1.907349e-06
32	2	2.980232e-05	0.000000e+00	7.152557e-06	1.907349e-06
64	2	3.194809e-05	0.000000e+00	7.867813e-06	1.907349e-06
128	2	3.600121e-05	9.536743e-07	7.867813e-06	9.536743e-07
256	2	4.506111e-05	9.536743e-07	7.867813e-06	1.192093e-06
512	2	6.389618e-05	9.536743e-07	8.821487e-06	1.907349e-06
1024	2	1.010895e-04	2.861023e-06	1.096725e-05	9.536743e-07
2048	2	1.761913e-04	5.960464e-06	1.502037e-05	9.536743e-07
4096	2	3.249645e-04	1.406670e-05	2.384186e-05	1.907349e-06
8192	2	6.232262e-04	2.002716e-05	4.196167e-05	1.907349e-06
1	4	2.717972e-05	0.000000e+00	6.914139e-06	1.907349e-06
2	4	2.598763e-05	0.000000e+00	6.914139e-06	1.192093e-06
4	4	2.694130e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	4	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	4	2.503395e-05	0.000000e+00	5.960464e-06	9.536743e-07
32	4	2.908707e-05	0.000000e+00	6.914139e-06	1.907349e-06
64	4	3.194809e-05	0.000000e+00	6.914139e-06	1.907349e-06
128	4	2.884865e-05	0.000000e+00	7.867813e-06	9.536743e-07
256	4	4.506111e-05	0.000000e+00	9.059906e-06	1.907349e-06
512	4	6.294250e-05	9.536743e-07	1.096725e-05	9.536743e-07
1024	4	1.010895e-04	2.861023e-06	1.502037e-05	1.192093e-06
2048	4	1.761913e-04	5.960464e-06	2.312660e-05	1.907349e-06
4096	4	3.249645e-04	1.311302e-05	4.100800e-05	1.907349e-06
8192	4	6.239414e-04	2.408028e-05	7.390976e-05	1.907349e-06
1	8	2.717972e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	8	2.694130e-05	0.000000e+00	6.914139e-06	1.192093e-06
4	8	2.694130e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	8	2.789497e-05	0.000000e+00	7.867813e-06	9.536743e-07
16	8	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
32	8	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07
64	8	3.099442e-05	0.000000e+00	7.867813e-06	9.536743e-07
128	8	3.695488e-05	0.000000e+00	8.821487e-06	9.536743e-07
256	8	4.482269e-05	1.192093e-06	1.096725e-05	1.907349e-06
512	8	6.413460e-05	1.907349e-06	1.502037e-05	9.536743e-07
1024	8	1.020432e-04	4.053116e-06	2.384186e-05	1.907349e-06
2048	8	1.759529e-04	8.106232e-06	4.100800e-05	1.907349e-06
