N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH	CT_HtD
1	1	1.192093e-05	0.000000e+00	1.597404e-05	1.907349e-06
2	1	1.192093e-05	0.000000e+00	1.692772e-05	1.907349e-06
4	1	1.215935e-05	0.000000e+00	1.692772e-05	1.907349e-06
8	1	1.192093e-05	0.000000e+00	1.788139e-05	9.536743e-07
16	1	1.192093e-05	0.000000e+00	1.597404e-05	9.536743e-07
32	1	1.192093e-05	0.000000e+00	1.502037e-05	9.536743e-07
64	1	1.287460e-05	0.000000e+00	1.597404e-05	1.907349e-06
128	1	1.406670e-05	0.000000e+00	1.478195e-05	9.536743e-07
256	1	1.692772e-05	0.000000e+00	1.502037e-05	1.907349e-06
512	1	1.692772e-05	0.000000e+00	1.502037e-05	1.907349e-06
1024	1	1.597404e-05	9.536743e-07	1.692772e-05	2.145767e-06
2048	1	2.098083e-05	4.053116e-06	1.907349e-05	2.861023e-06
4096	1	3.194809e-05	5.960464e-06	2.098083e-05	4.053116e-06
8192	1	5.006790e-05	1.382828e-05	3.099442e-05	8.106232e-06
1	2	1.192093e-05	0.000000e+00	1.502037e-05	9.536743e-07
2	2	1.192093e-05	0.000000e+00	1.811981e-05	9.536743e-07
4	2	1.192093e-05	0.000000e+00	1.597404e-05	9.536743e-07
8	2	1.192093e-05	0.000000e+00	1.478195e-05	1.907349e-06
16	2	1.192093e-05	0.000000e+00	1.811981e-05	9.536743e-07
32	2	1.215935e-05	0.000000e+00	1.692772e-05	1.907349e-06
64	2	1.287460e-05	0.000000e+00	1.597404e-05	9.536743e-07
128	2	1.406670e-05	0.000000e+00	1.597404e-05	9.536743e-07
256	2	1.692772e-05	9.536743e-07	1.502037e-05	1.907349e-06
512	2	1.692772e-05	1.907349e-06	1.716614e-05	1.907349e-06
1024	2	1.597404e-05	3.814697e-06	1.788139e-05	2.861023e-06
2048	2	2.193451e-05	7.152557e-06	2.193451e-05	5.006790e-06
4096	2	3.504753e-05	1.502037e-05	3.099442e-05	7.867813e-06
8192	2	5.316734e-05	3.099442e-05	4.816055e-05	9.059906e-06
1	4	1.192093e-05	0.000000e+00	1.907349e-05	9.536743e-07
2	4	1.192093e-05	0.000000e+00	1.811981e-05	9.536743e-07
4	4	1.192093e-05	0.000000e+00	1.788139e-05	9.536743e-07
8	4	1.192093e-05	0.000000e+00	1.788139e-05	9.536743e-07
16	4	1.287460e-05	0.000000e+00	1.716614e-05	9.536743e-07
32	4	1.192093e-05	0.000000e+00	1.692772e-05	9.536743e-07
64	4	1.287460e-05	0.000000e+00	1.597404e-05	9.536743e-07
128	4	1.382828e-05	0.000000e+00	1.478195e-05	1.907349e-06
256	4	1.692772e-05	9.536743e-07	1.597404e-05	1.907349e-06
512	4	1.597404e-05	2.861023e-06	1.811981e-05	2.861023e-06
1024	4	1.716614e-05	5.960464e-06	2.288818e-05	5.006790e-06
2048	4	2.503395e-05	1.215935e-05	3.099442e-05	8.106232e-06
4096	4	3.886223e-05	2.217293e-05	4.887581e-05	9.059906e-06
8192	4	6.413460e-05	4.601479e-05	8.106232e-05	1.597404e-05
1	8	1.192093e-05	0.000000e+00	1.502037e-05	9.536743e-07
2	8	1.192093e-05	0.000000e+00	1.502037e-05	9.536743e-07
4	8	1.192093e-05	0.000000e+00	1.597404e-05	1.192093e-06
8	8	1.192093e-05	0.000000e+00	1.597404e-05	1.192093e-06
16	8	1.215935e-05	0.000000e+00	1.692772e-05	9.536743e-07
32	8	1.192093e-05	0.000000e+00	1.716614e-05	1.192093e-06
64	8	1.311302e-05	0.000000e+00	1.597404e-05	1.907349e-06
128	8	1.382828e-05	1.192093e-06	1.692772e-05	2.145767e-06
256	8	1.597404e-05	1.907349e-06	1.597404e-05	3.099442e-06
512	8	1.692772e-05	5.960464e-06	2.217293e-05	5.006790e-06
1024	8	2.098083e-05	1.096725e-05	3.099442e-05	7.867813e-06
2048	8	4.100800e-05	2.217293e-05	4.887581e-05	8.821487e-06
4096	8	4.100800e-05	4.005432e-05	8.106232e-05	1.597404e-05
8192	8	6.103516e-05	8.797646e-05	1.490116e-04	2.980232e-05
1	16	1.192093e-05	0.000000e+00	1.811981e-05	1.907349e-06
2	16	1.192093e-05	0.000000e+00	1.788139e-05	9.536743e-07
4	16	1.192093e-05	0.000000e+00	1.621246e-05	9.536743e-07
8	16	1.120567e-05	0.000000e+00	1.692772e-05	1.192093e-06
16	16	1.192093e-05	0.000000e+00	1.692772e-05	1.192093e-06
32	16	1.192093e-05	9.536743e-07	1.597404e-05	1.907349e-06
64	16	1.287460e-05	9.536743e-07	1.692772e-05	1.907349e-06
128	16	1.406670e-05	2.145767e-06	1.692772e-05	2.861023e-06
256	16	1.788139e-05	4.053116e-06	2.288818e-05	4.768372e-06
512	16	2.098083e-05	1.192093e-05	3.099442e-05	5.006790e-06
1024	16	2.598763e-05	2.193451e-05	5.006790e-05	9.059906e-06
2048	16	3.218651e-05	4.291534e-05	7.987022e-05	1.597404e-05
4096	16	5.507469e-05	8.678436e-05	1.478195e-04	2.908707e-05
8192	16	6.699562e-05	1.709461e-04	2.808571e-04	5.602837e-05
1	32	1.215935e-05	0.000000e+00	1.692772e-05	9.536743e-07
2	32	1.287460e-05	0.000000e+00	1.597404e-05	9.536743e-07
4	32	1.192093e-05	0.000000e+00	1.692772e-05	9.536743e-07
8	32	1.192093e-05	0.000000e+00	1.692772e-05	9.536743e-07
16	32	1.287460e-05	9.536743e-07	1.597404e-05	1.192093e-06
32	32	1.287460e-05	9.536743e-07	1.478195e-05	1.907349e-06
64	32	1.382828e-05	1.907349e-06	1.883507e-05	1.907349e-06
128	32	1.502037e-05	5.006790e-06	2.193451e-05	3.099442e-06
256	32	2.193451e-05	1.287460e-05	3.099442e-05	5.006790e-06
512	32	2.598763e-05	2.288818e-05	4.911423e-05	9.059906e-06
1024	32	2.598763e-05	4.291534e-05	8.296967e-05	1.597404e-05
2048	32	3.504753e-05	8.487701e-05	1.459122e-04	2.884865e-05
4096	32	5.006790e-05	1.688004e-04	2.779961e-04	5.602837e-05
8192	32	7.510185e-05	3.440380e-04	4.599094e-04	1.409054e-04
1	64	1.287460e-05	0.000000e+00	1.692772e-05	9.536743e-07
2	64	1.287460e-05	0.000000e+00	1.692772e-05	9.536743e-07
4	64	1.287460e-05	0.000000e+00	1.692772e-05	9.536743e-07
8	64	1.287460e-05	9.536743e-07	1.597404e-05	1.907349e-06
16	64	1.287460e-05	9.536743e-07	1.692772e-05	1.907349e-06
32	64	1.382828e-05	2.145767e-06	1.883507e-05	2.145767e-06
64	64	1.597404e-05	5.006790e-06	2.288818e-05	2.861023e-06
128	64	2.193451e-05	1.287460e-05	3.218651e-05	5.006790e-06
256	64	3.194809e-05	2.384186e-05	4.887581e-05	9.059906e-06
512	64	3.314018e-05	4.601479e-05	8.177757e-05	1.597404e-05
1024	64	3.290176e-05	8.797646e-05	1.480579e-04	3.004074e-05
2048	64	4.577637e-05	1.728535e-04	2.930164e-04	5.602837e-05
4096	64	7.700920e-05	3.509521e-04	4.541874e-04	1.440048e-04
8192	64	1.218319e-04	7.119179e-04	8.761883e-04	5.121231e-04
1	128	1.406670e-05	0.000000e+00	1.502037e-05	9.536743e-07
2	128	1.502037e-05	0.000000e+00	1.502037e-05	1.907349e-06
4	128	1.406670e-05	0.000000e+00	1.502037e-05	1.907349e-06
8	128	1.502037e-05	9.536743e-07	1.692772e-05	1.907349e-06
16	128	1.382828e-05	1.907349e-06	1.811981e-05	2.861023e-06
32	128	1.597404e-05	5.006790e-06	2.288818e-05	3.814697e-06
64	128	2.384186e-05	1.096725e-05	3.194809e-05	5.006790e-06
128	128	3.314018e-05	2.479553e-05	4.911423e-05	8.821487e-06
256	128	5.412102e-05	4.386902e-05	8.416176e-05	1.597404e-05
512	128	4.696846e-05	8.583069e-05	1.490116e-04	2.908707e-05
1024	128	5.006790e-05	1.790524e-04	2.770424e-04	5.602837e-05
2048	128	7.295609e-05	3.669262e-04	4.589558e-04	1.420975e-04
4096	128	1.361370e-04	7.371902e-04	8.809566e-04	5.228519e-04
8192	128	2.219677e-04	1.580954e-03	1.664877e-03	1.219034e-03
1	256	1.597404e-05	0.000000e+00	1.502037e-05	9.536743e-07
2	256	1.692772e-05	9.536743e-07	1.621246e-05	9.536743e-07
4	256	1.597404e-05	9.536743e-07	1.478195e-05	1.907349e-06
8	256	1.692772e-05	3.099442e-06	2.288818e-05	1.907349e-06
16	256	1.883507e-05	5.006790e-06	2.312660e-05	2.861023e-06
32	256	2.288818e-05	1.192093e-05	3.194809e-05	5.006790e-06
64	256	3.218651e-05	2.288818e-05	4.911423e-05	9.059906e-06
128	256	4.506111e-05	4.386902e-05	8.201599e-05	1.597404e-05
256	256	7.200241e-05	8.392334e-05	1.490116e-04	2.884865e-05
512	256	7.414818e-05	1.709461e-04	2.779961e-04	5.578995e-05
1024	256	8.010864e-05	3.430843e-04	4.630089e-04	1.399517e-04
2048	256	1.218319e-04	7.140636e-04	8.528233e-04	5.021095e-04
4096	256	2.419949e-04	1.887083e-03	1.642942e-03	1.204014e-03
