N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
512	4096	5.879402e-04	1.771927e-03	3.079891e-03	5.960464e-06
1024	4096	1.137018e-03	3.710032e-03	6.296873e-03	6.198883e-06
2048	4096	2.248049e-03	6.705999e-03	1.206088e-02	5.960464e-06
4096	4096	4.449129e-03	1.334000e-02	2.408385e-02	9.059906e-06
8192	4096	8.891106e-03	2.782393e-02	4.889894e-02	1.502037e-05
1	8192	3.194809e-05	7.152557e-06	2.312660e-05	1.907349e-06
2	8192	3.385544e-05	1.192093e-05	3.910065e-05	1.907349e-06
4	8192	3.314018e-05	2.503395e-05	7.295609e-05	1.907349e-06
8	8192	3.910065e-05	5.197525e-05	1.389980e-04	1.907349e-06
16	8192	5.078316e-05	1.039505e-04	2.670288e-04	2.861023e-06
32	8192	7.581711e-05	2.090931e-04	4.599094e-04	3.099442e-06
64	8192	1.251698e-04	4.200935e-04	8.220673e-04	2.861023e-06
128	8192	2.191067e-04	8.869171e-04	1.590967e-03	4.768372e-06
256	8192	4.110336e-04	1.819849e-03	3.124952e-03	5.006790e-06
512	8192	7.879734e-04	3.686905e-03	6.283045e-03	7.867813e-06
1024	8192	1.536846e-03	7.019043e-03	1.224589e-02	8.106232e-06
2048	8192	3.041029e-03	1.401687e-02	2.437305e-02	1.001358e-05
4096	8192	6.045818e-03	2.681518e-02	4.815006e-02	8.821487e-06
8192	8192	1.204801e-02	5.916500e-02	1.011829e-01	1.597404e-05
