N_ROWS	N_COLS	MRTIME_onDEV_T1	MRTIME_HOST\tMRTIME_onDEV_Tp
256	256	1	3.848076e-04	1.699924e-04	3.859997e-04	4.639440e-310
256	256	4	3.819466e-04	1.699924e-04	1.430511e-04	0.000000e+00
256	256	16	3.819466e-04	1.680851e-04	5.888939e-05	4.639440e-310
256	256	64	3.819466e-04	1.680851e-04	4.100800e-05	0.000000e+00
256	256	256	3.819466e-04	1.661777e-04	4.100800e-05	4.639440e-310
256	256	1024	3.819466e-04	1.649857e-04	4.100800e-05	0.000000e+00
512	256	1	7.450581e-04	3.521442e-04	7.450581e-04	4.639440e-310
512	256	4	7.450581e-04	3.437996e-04	2.589226e-04	0.000000e+00
512	256	16	7.441044e-04	3.437996e-04	9.608269e-05	4.639440e-310
512	256	64	7.431507e-04	3.437996e-04	5.793571e-05	0.000000e+00
512	256	256	7.431507e-04	3.437996e-04	5.793571e-05	4.639440e-310
512	256	1024	7.410049e-04	3.328323e-04	5.793571e-05	0.000000e+00
1024	256	1	1.463890e-03	6.980896e-04	1.463890e-03	4.639440e-310
1024	256	4	1.461983e-03	6.759167e-04	4.930496e-04	0.000000e+00
1024	256	16	1.461983e-03	6.759167e-04	1.637936e-04	4.639440e-310
1024	256	64	1.461983e-03	6.759167e-04	9.107590e-05	0.000000e+00
1024	256	256	1.461983e-03	6.759167e-04	9.107590e-05	4.639440e-310
1024	256	1024	1.461983e-03	6.759167e-04	9.107590e-05	0.000000e+00
2048	256	1	2.899885e-03	1.404047e-03	2.902985e-03	4.639440e-310
2048	256	4	2.899885e-03	1.343012e-03	9.620190e-04	0.000000e+00
2048	256	16	2.897978e-03	1.343012e-03	3.030300e-04	4.639440e-310
2048	256	64	2.897978e-03	1.343012e-03	1.552105e-04	4.639440e-310
2048	256	256	2.897978e-03	1.343012e-03	1.552105e-04	4.639440e-310
2048	256	1024	2.897978e-03	1.343012e-03	1.552105e-04	4.639440e-310
4096	256	1	5.762815e-03	2.794981e-03	5.772114e-03	0.000000e+00
4096	256	4	5.762815e-03	2.794981e-03	1.902103e-03	4.639440e-310
4096	256	16	5.762100e-03	2.794981e-03	5.810261e-04	4.639440e-310
4096	256	64	5.761147e-03	2.794981e-03	2.901554e-04	0.000000e+00
4096	256	256	5.761147e-03	2.538919e-03	2.901554e-04	4.639440e-310
4096	256	1024	5.761147e-03	2.538919e-03	2.901554e-04	4.639440e-310
8192	256	1	1.145911e-02	5.759001e-03	1.148200e-02	4.639440e-310
8192	256	4	1.145911e-02	5.434990e-03	3.751993e-03	4.639440e-310
8192	256	16	1.145911e-02	5.434990e-03	1.136065e-03	4.639440e-310
8192	256	64	1.145697e-02	5.434990e-03	5.471706e-04	4.639440e-310
8192	256	256	1.145697e-02	5.434990e-03	5.471706e-04	4.639440e-310
8192	256	1024	1.145506e-02	5.434990e-03	5.471706e-04	4.639440e-310
256	512	1	7.400513e-04	3.440380e-04	7.419586e-04	4.639440e-310
256	512	4	7.400513e-04	3.359318e-04	2.601147e-04	4.639440e-310
256	512	16	7.398129e-04	3.349781e-04	9.012222e-05	4.639440e-310
256	512	64	7.381439e-04	3.349781e-04	4.982948e-05	4.639440e-310
256	512	256	7.381439e-04	3.349781e-04	4.982948e-05	4.639440e-310
256	512	1024	7.359982e-04	3.311634e-04	4.887581e-05	4.639440e-310
512	512	1	1.456022e-03	6.852150e-04	1.457930e-03	4.639440e-310
512	512	4	1.456022e-03	6.852150e-04	4.880428e-04	4.639440e-310
512	512	16	1.453876e-03	6.852150e-04	1.540184e-04	4.639440e-310
512	512	64	1.453876e-03	6.630421e-04	7.510185e-05	4.639440e-310
512	512	256	1.453876e-03	6.630421e-04	7.295609e-05	4.639440e-310
512	512	1024	1.453876e-03	6.470680e-04	7.104874e-05	4.639440e-310
1024	512	1	2.887011e-03	1.457930e-03	2.890825e-03	0.000000e+00
1024	512	4	2.887011e-03	1.371145e-03	9.498596e-04	4.639440e-310
1024	512	16	2.884865e-03	1.371145e-03	2.861023e-04	0.000000e+00
1024	512	64	2.884865e-03	1.371145e-03	1.280308e-04	4.639440e-310
1024	512	256	2.884865e-03	1.371145e-03	1.199245e-04	0.000000e+00
1024	512	1024	2.884865e-03	1.371145e-03	1.199245e-04	4.639440e-310
2048	512	1	5.746126e-03	2.798080e-03	5.755901e-03	4.639440e-310
2048	512	4	5.743980e-03	2.771854e-03	1.881123e-03	4.639440e-310
2048	512	16	5.743980e-03	2.771854e-03	5.478859e-04	4.639440e-310
2048	512	64	5.743980e-03	2.771854e-03	2.310276e-04	4.639440e-310
2048	512	256	5.743980e-03	2.747059e-03	2.191067e-04	4.639440e-310
2048	512	1024	5.743027e-03	2.691984e-03	2.191067e-04	4.639440e-310
4096	512	1	1.145816e-02	5.317211e-03	1.147485e-02	4.639440e-310
4096	512	4	1.145601e-02	5.317211e-03	3.727198e-03	4.639440e-310
4096	512	16	1.145291e-02	5.317211e-03	1.064062e-03	4.639440e-310
4096	512	64	1.145291e-02	5.317211e-03	4.379749e-04	4.639440e-310
4096	512	256	1.145291e-02	5.317211e-03	4.129410e-04	4.639440e-310
4096	512	1024	1.145291e-02	5.317211e-03	4.119873e-04	4.639440e-310
8192	512	1	2.278495e-02	1.103616e-02	2.280307e-02	4.639440e-310
8192	512	4	2.277803e-02	1.103616e-02	7.363081e-03	4.639440e-310
8192	512	16	2.277803e-02	1.085806e-02	2.079010e-03	4.639440e-310
8192	512	64	2.277708e-02	1.016402e-02	8.249283e-04	4.639440e-310
