N_ROWS	N_COLS	MRTIME_onDEV_T1	MRTIME_HOST	CT_DtH	MRTIME_onDEV_Tp
128	2048	32	1.169181e-01	1.235008e-03	9.659052e-03
128	2048	64	1.169181e-01	1.235008e-03	3.124952e-03
128	2048	128	1.169181e-01	1.235008e-03	2.022982e-03
128	2048	256	1.169181e-01	1.235008e-03	6.709099e-04
128	2048	512	1.169181e-01	1.235008e-03	5.080700e-04
128	2048	1024	1.169181e-01	1.235008e-03	2.279282e-04
128	2048	8192	1.169181e-01	1.235008e-03	7.486343e-05
128	2048	16384	1.169181e-01	1.235008e-03	7.486343e-05
128	2048	73728	1.169181e-01	1.235008e-03	6.508827e-05
512	2048	1	4.677331e-01	4.992008e-03	4.677761e-01
512	2048	2	4.677331e-01	4.992008e-03	4.676640e-01
512	2048	4	4.677331e-01	4.992008e-03	1.410990e-01
512	2048	8	4.677331e-01	4.992008e-03	1.410961e-01
512	2048	16	4.677331e-01	4.992008e-03	4.877496e-02
512	2048	32	4.677331e-01	4.992008e-03	3.818798e-02
512	2048	64	4.677331e-01	4.992008e-03	1.231885e-02
512	2048	128	4.677331e-01	4.992008e-03	7.798910e-03
512	2048	256	4.677331e-01	4.992008e-03	2.617121e-03
512	2048	512	4.677331e-01	4.992008e-03	1.976967e-03
512	2048	1024	4.677331e-01	4.992008e-03	8.368492e-04
512	2048	8192	4.677331e-01	4.992008e-03	2.529621e-04
512	2048	16384	4.677331e-01	4.992008e-03	2.529621e-04
512	2048	73728	4.677331e-01	4.992008e-03	2.450943e-04
2048	2048	1	1.869734e+00	1.991010e-02	1.869896e+00
2048	2048	2	1.869734e+00	1.991010e-02	1.869896e+00
2048	2048	4	1.869734e+00	1.991010e-02	5.647681e-01
2048	2048	8	1.869734e+00	1.991010e-02	5.640788e-01
2048	2048	16	1.869734e+00	1.991010e-02	1.945560e-01
2048	2048	32	1.869734e+00	1.991010e-02	1.527522e-01
2048	2048	64	1.869734e+00	1.991010e-02	4.922199e-02
2048	2048	128	1.869734e+00	1.991010e-02	3.116608e-02
2048	2048	256	1.869734e+00	1.991010e-02	1.026702e-02
2048	2048	512	1.869734e+00	1.991010e-02	7.620096e-03
2048	2048	1024	1.869734e+00	1.991010e-02	3.294945e-03
2048	2048	8192	1.869734e+00	1.991010e-02	9.651184e-04
2048	2048	16384	1.869734e+00	1.991010e-02	9.629726e-04
2048	2048	73728	1.869734e+00	1.991010e-02	9.629726e-04
