N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
32	128	2.980232e-05	1.907349e-06	1.502037e-05	9.536743e-07
64	128	3.290176e-05	3.099442e-06	2.288818e-05	9.536743e-07
128	128	3.790855e-05	5.006790e-06	4.100800e-05	2.145767e-06
256	128	4.816055e-05	1.001358e-05	7.295609e-05	1.907349e-06
512	128	8.583069e-05	2.002716e-05	1.358986e-04	1.907349e-06
1024	128	1.459122e-04	3.886223e-05	2.629757e-04	1.907349e-06
2048	128	2.660751e-04	7.796288e-05	4.479885e-04	1.907349e-06
4096	128	5.059242e-04	1.618862e-04	8.151531e-04	2.145767e-06
8192	128	9.851456e-04	4.568100e-04	1.563072e-03	1.907349e-06
1	256	2.908707e-05	0.000000e+00	6.914139e-06	1.192093e-06
2	256	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	256	2.789497e-05	0.000000e+00	8.821487e-06	9.536743e-07
8	256	2.789497e-05	9.536743e-07	1.096725e-05	9.536743e-07
16	256	2.789497e-05	9.536743e-07	1.406670e-05	1.907349e-06
32	256	2.908707e-05	3.099442e-06	2.288818e-05	9.536743e-07
64	256	3.290176e-05	5.006790e-06	3.981590e-05	1.907349e-06
128	256	3.886223e-05	9.059906e-06	7.200241e-05	1.907349e-06
256	256	5.888939e-05	1.788139e-05	1.361370e-04	1.907349e-06
512	256	9.083748e-05	3.600121e-05	2.629757e-04	1.907349e-06
1024	256	1.540184e-04	7.104874e-05	4.470348e-04	2.145767e-06
2048	256	2.820492e-04	1.490116e-04	8.130074e-04	1.907349e-06
4096	256	5.371571e-04	4.460812e-04	1.556158e-03	2.861023e-06
8192	256	1.047850e-03	9.968281e-04	3.078938e-03	4.768372e-06
1	512	2.789497e-05	0.000000e+00	8.106232e-06	1.907349e-06
2	512	2.789497e-05	0.000000e+00	8.821487e-06	2.145767e-06
4	512	2.789497e-05	0.000000e+00	1.096725e-05	1.907349e-06
8	512	2.908707e-05	1.907349e-06	1.502037e-05	9.536743e-07
16	512	3.004074e-05	1.907349e-06	2.193451e-05	1.907349e-06
32	512	3.194809e-05	4.053116e-06	4.005432e-05	1.907349e-06
64	512	3.790855e-05	9.059906e-06	7.295609e-05	1.907349e-06
128	512	4.982948e-05	1.692772e-05	1.370907e-04	1.907349e-06
256	512	7.009506e-05	3.504753e-05	2.632141e-04	1.907349e-06
512	512	1.111031e-04	7.009506e-05	4.498959e-04	2.861023e-06
1024	512	1.940727e-04	1.471043e-04	8.108616e-04	1.907349e-06
2048	512	3.578663e-04	4.510880e-04	1.563072e-03	3.099442e-06
4096	512	6.868839e-04	9.989738e-04	3.060102e-03	5.006790e-06
8192	512	1.343012e-03	1.995087e-03	6.045818e-03	5.960464e-06
1	1024	2.694130e-05	9.536743e-07	9.059906e-06	1.907349e-06
2	1024	2.694130e-05	9.536743e-07	1.096725e-05	1.907349e-06
4	1024	2.789497e-05	1.907349e-06	1.597404e-05	1.907349e-06
8	1024	2.789497e-05	1.907349e-06	2.312660e-05	1.907349e-06
16	1024	3.004074e-05	5.006790e-06	3.981590e-05	1.907349e-06
32	1024	3.290176e-05	9.059906e-06	7.295609e-05	1.907349e-06
64	1024	4.005432e-05	1.811981e-05	1.368523e-04	1.907349e-06
128	1024	4.982948e-05	3.504753e-05	2.639294e-04	2.861023e-06
256	1024	7.200241e-05	6.890297e-05	4.479885e-04	2.861023e-06
512	1024	1.127720e-04	1.430511e-04	8.158684e-04	3.099442e-06
1024	1024	1.959801e-04	4.470348e-04	1.553774e-03	3.099442e-06
2048	1024	3.640652e-04	9.970665e-04	3.063917e-03	5.960464e-06
4096	1024	6.978512e-04	1.988888e-03	6.048203e-03	5.960464e-06
8192	1024	1.356840e-03	4.019022e-03	1.204014e-02	5.960464e-06
1	2048	2.694130e-05	9.536743e-07	1.096725e-05	2.861023e-06
2	2048	2.789497e-05	1.907349e-06	1.406670e-05	1.907349e-06
4	2048	2.694130e-05	3.099442e-06	2.384186e-05	2.145767e-06
8	2048	2.884865e-05	5.006790e-06	3.981590e-05	2.861023e-06
16	2048	2.884865e-05	8.821487e-06	7.295609e-05	2.861023e-06
32	2048	3.290176e-05	1.788139e-05	1.368523e-04	2.861023e-06
64	2048	3.886223e-05	3.480911e-05	2.648830e-04	2.861023e-06
128	2048	5.102158e-05	6.890297e-05	4.458427e-04	2.861023e-06
256	2048	7.486343e-05	1.451969e-04	8.130074e-04	4.053116e-06
512	2048	1.199245e-04	4.241467e-04	1.562834e-03	4.053116e-06
1024	2048	2.140999e-04	1.024961e-03	3.062010e-03	5.960464e-06
2048	2048	3.998280e-04	2.076864e-03	6.070137e-03	5.960464e-06
4096	2048	7.700920e-04	4.103899e-03	1.209712e-02	5.960464e-06
8192	2048	1.511812e-03	8.239985e-03	2.410793e-02	5.960464e-06
1	4096	2.694130e-05	2.861023e-06	1.502037e-05	2.861023e-06
2	4096	2.789497e-05	5.006790e-06	2.312660e-05	4.053116e-06
4	4096	2.813339e-05	6.914139e-06	3.981590e-05	3.099442e-06
8	4096	2.789497e-05	1.192093e-05	7.200241e-05	3.814697e-06
16	4096	3.290176e-05	2.312660e-05	1.370907e-04	3.814697e-06
32	4096	3.790855e-05	4.315376e-05	2.641678e-04	3.814697e-06
64	4096	4.887581e-05	8.201599e-05	4.448891e-04	3.814697e-06
128	4096	6.985664e-05	1.688004e-04	8.127689e-04	3.814697e-06
256	4096	1.118183e-04	4.789829e-04	1.570940e-03	5.006790e-06
512	4096	1.959801e-04	1.116991e-03	3.062010e-03	6.914139e-06
1024	4096	3.600121e-04	2.375841e-03	6.082058e-03	8.106232e-06
2048	4096	6.949902e-04	4.754066e-03	1.209211e-02	6.914139e-06
4096	4096	1.355886e-03	9.443998e-03	2.411890e-02	6.914139e-06
8192	4096	2.689838e-03	1.901197e-02	4.816604e-02	7.867813e-06
1	8192	3.719330e-05	5.960464e-06	2.288818e-05	5.006790e-06
2	8192	3.814697e-05	9.059906e-06	4.005432e-05	5.960464e-06
4	8192	3.695488e-05	1.502037e-05	7.200241e-05	5.960464e-06
8	8192	4.100800e-05	2.694130e-05	1.368523e-04	5.960464e-06
16	8192	4.696846e-05	5.507469e-05	2.648830e-04	5.960464e-06
32	8192	5.793571e-05	1.189709e-04	4.401207e-04	5.960464e-06
64	8192	7.915497e-05	2.429485e-04	7.951260e-04	5.960464e-06
128	8192	1.208782e-04	6.008148e-04	1.518965e-03	6.914139e-06
256	8192	2.059937e-04	1.278877e-03	2.954006e-03	7.867813e-06
512	8192	3.759861e-04	2.295017e-03	6.051064e-03	9.059906e-06
1024	8192	7.221699e-04	4.646063e-03	1.203108e-02	1.001358e-05
2048	8192	1.401901e-03	9.418011e-03	2.400398e-02	1.001358e-05
4096	8192	2.789021e-03	1.898718e-02	4.803991e-02	9.775162e-06
8192	8192	5.562067e-03	3.803396e-02	9.595513e-02	1.001358e-05
