N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
256	128	4.601479e-05	1.001358e-05	7.390976e-05	1.907349e-06
512	128	6.890297e-05	2.121925e-05	1.368523e-04	1.907349e-06
1024	128	1.211166e-04	4.196167e-05	2.789497e-04	1.907349e-06
2048	128	2.260208e-04	1.161098e-04	4.649162e-04	1.907349e-06
4096	128	4.329681e-04	2.090931e-04	8.449554e-04	2.145767e-06
8192	128	8.430481e-04	5.140305e-04	1.671076e-03	4.053116e-06
1	256	2.598763e-05	0.000000e+00	7.867813e-06	1.907349e-06
2	256	2.694130e-05	0.000000e+00	8.106232e-06	9.536743e-07
4	256	2.694130e-05	0.000000e+00	8.106232e-06	1.192093e-06
8	256	2.694130e-05	9.536743e-07	1.096725e-05	1.192093e-06
16	256	2.789497e-05	9.536743e-07	1.502037e-05	1.192093e-06
32	256	2.908707e-05	1.907349e-06	2.288818e-05	1.907349e-06
64	256	3.194809e-05	1.001358e-05	4.005432e-05	1.907349e-06
128	256	3.504753e-05	1.788139e-05	7.295609e-05	1.907349e-06
256	256	4.696846e-05	1.907349e-05	1.430511e-04	2.145767e-06
512	256	7.295609e-05	3.814697e-05	2.670288e-04	2.145767e-06
1024	256	1.251698e-04	8.893013e-05	4.730225e-04	2.861023e-06
2048	256	2.269745e-04	2.379417e-04	8.690357e-04	2.861023e-06
4096	256	4.301071e-04	5.099773e-04	1.647949e-03	5.006790e-06
8192	256	8.339882e-04	1.164913e-03	3.159046e-03	6.914139e-06
1	512	2.813339e-05	0.000000e+00	7.867813e-06	1.907349e-06
2	512	2.717972e-05	0.000000e+00	1.001358e-05	2.145767e-06
4	512	2.789497e-05	0.000000e+00	1.096725e-05	1.907349e-06
8	512	2.789497e-05	9.536743e-07	1.502037e-05	1.907349e-06
16	512	2.789497e-05	2.861023e-06	2.288818e-05	1.907349e-06
32	512	2.908707e-05	4.053116e-06	4.100800e-05	1.907349e-06
64	512	3.194809e-05	9.059906e-06	7.390976e-05	2.145767e-06
128	512	3.695488e-05	1.811981e-05	1.368523e-04	1.907349e-06
256	512	5.006790e-05	3.886223e-05	2.639294e-04	1.907349e-06
512	512	7.605553e-05	7.891655e-05	4.470348e-04	2.145767e-06
1024	512	1.268387e-04	1.850128e-04	8.790493e-04	2.861023e-06
2048	512	2.279282e-04	5.080700e-04	1.605034e-03	4.053116e-06
4096	512	4.329681e-04	1.148939e-03	3.181934e-03	5.960464e-06
8192	512	8.361340e-04	2.013922e-03	6.119967e-03	6.914139e-06
1	1024	2.717972e-05	0.000000e+00	8.821487e-06	1.907349e-06
2	1024	2.694130e-05	9.536743e-07	1.096725e-05	1.907349e-06
4	1024	2.717972e-05	1.907349e-06	1.478195e-05	1.907349e-06
8	1024	2.789497e-05	3.099442e-06	2.288818e-05	1.907349e-06
16	1024	2.813339e-05	5.006790e-06	4.005432e-05	1.907349e-06
32	1024	3.004074e-05	1.001358e-05	7.200241e-05	1.907349e-06
64	1024	3.099442e-05	1.907349e-05	1.368523e-04	1.907349e-06
128	1024	3.910065e-05	3.910065e-05	2.641678e-04	1.907349e-06
256	1024	5.197525e-05	7.891655e-05	4.470348e-04	2.861023e-06
512	1024	7.891655e-05	1.828671e-04	8.120537e-04	2.861023e-06
1024	1024	1.308918e-04	4.239082e-04	1.548052e-03	4.053116e-06
2048	1024	2.388954e-04	9.701252e-04	3.032923e-03	5.960464e-06
4096	1024	4.479885e-04	2.009153e-03	6.060839e-03	5.960464e-06
8192	1024	8.659363e-04	4.112005e-03	1.206493e-02	6.914139e-06
1	2048	2.694130e-05	9.536743e-07	1.096725e-05	2.145767e-06
2	2048	2.789497e-05	1.907349e-06	1.478195e-05	1.907349e-06
4	2048	2.813339e-05	1.907349e-06	2.312660e-05	1.907349e-06
8	2048	2.813339e-05	5.006790e-06	3.981590e-05	2.861023e-06
16	2048	2.908707e-05	1.001358e-05	7.295609e-05	2.861023e-06
32	2048	3.099442e-05	1.883507e-05	1.358986e-04	2.861023e-06
64	2048	3.480911e-05	4.100800e-05	2.639294e-04	2.861023e-06
