N	CostTIME_onDEV	CostTIME_HOST
1	2.908707e-05	0.000000e+00
2	2.813339e-05	0.000000e+00
4	2.789497e-05	0.000000e+00
8	2.789497e-05	0.000000e+00
16	2.789497e-05	0.000000e+00
32	2.789497e-05	0.000000e+00
64	2.789497e-05	9.536743e-07
128	3.099442e-05	2.145767e-06
256	3.290176e-05	3.814697e-06
512	3.814697e-05	7.867813e-06
1024	4.911423e-05	1.597404e-05
2048	7.200241e-05	3.385544e-05
4096	1.120567e-04	7.081032e-05
8192	2.050400e-04	1.478195e-04
16384	3.850460e-04	2.958775e-04
32768	8.001328e-04	6.361008e-04
65536	1.567841e-03	1.332998e-03
131072	3.104925e-03	2.781868e-03
262144	6.181002e-03	5.125999e-03
524288	1.232719e-02	9.548903e-03
1048576	2.464104e-02	1.918292e-02
2097152	4.923320e-02	3.837800e-02
4194304	9.838605e-02	8.405900e-02
